CALIB_AIRSPEED,TRUE_AIRSPEED,VERTICAL_SPEED,ALTITUDE,AOA_LEFT,AOA_RIGHT,MAGNETIC_HEADING,AUTOPILOT_ENGAGED,AUTOTHROTTLE_ENGAGED,IN_AIR
53.88,55.25,16.0,214.0,-2.81,-3.69,-112.76,0.0,1.0,0.0
57.0,58.5,32.0,214.0,-3.21,-3.43,-112.68,0.0,1.0,0.0
60.12,61.75,48.0,216.0,-3.34,-3.47,-112.59,0.0,1.0,0.0
64.0,65.5,8.0,217.0,-3.08,-3.25,-112.41,0.0,1.0,0.0
68.25,70.0,32.0,221.0,-2.94,-2.9,-112.5,0.0,1.0,0.0
72.88,74.75,40.0,222.0,-1.8,-0.66,-112.59,0.0,1.0,0.0
77.0,79.0,64.0,220.0,-1.8,-0.92,-112.5,0.0,1.0,0.0
81.38,83.5,32.0,221.0,-1.89,-1.58,-112.41,0.0,1.0,0.0
85.5,87.75,64.0,219.0,-1.71,-1.76,-112.41,0.0,1.0,0.0
89.25,91.5,32.0,224.0,-3.21,-1.67,-112.5,0.0,1.0,0.0
94.25,96.75,72.0,224.0,-1.89,-2.42,-112.68,0.0,1.0,0.0
95.88,98.25,32.0,222.0,-1.49,-1.01,-112.59,0.0,1.0,0.0
100.62,103.25,40.0,220.0,-1.32,-1.54,-112.5,0.0,1.0,0.0
103.88,106.5,48.0,220.0,-1.01,-1.85,-112.41,0.0,1.0,0.0
107.12,110.0,40.0,220.0,-0.7,-1.23,-112.15,0.0,1.0,0.0
110.62,113.5,48.0,223.0,-1.1,-0.92,-112.15,0.0,1.0,0.0
115.0,118.0,64.0,222.0,-1.23,-1.23,-112.41,0.0,1.0,0.0
117.88,121.0,32.0,222.0,-0.79,-0.92,-112.5,0.0,1.0,0.0
122.25,125.5,56.0,219.0,-1.19,-1.36,-112.41,0.0,1.0,0.0
124.88,128.25,32.0,213.0,-1.32,-1.1,-112.15,0.0,1.0,0.0
130.38,133.75,72.0,220.0,-0.83,-0.92,-112.06,0.0,1.0,0.0
132.62,136.0,40.0,224.0,-1.45,-1.23,-112.15,0.0,1.0,0.0
136.5,140.0,56.0,222.0,-1.49,-1.41,-112.24,0.0,1.0,0.0
140.5,144.0,80.0,225.0,-1.19,-0.79,-112.41,0.0,1.0,0.0
143.12,146.75,64.0,225.0,-1.1,-1.14,-112.32,0.0,1.0,0.0
145.88,149.75,40.0,223.0,-1.27,-0.44,-112.15,0.0,1.0,0.0
151.88,155.75,32.0,223.0,-1.67,-1.27,-112.15,0.0,1.0,0.0
152.75,156.75,40.0,218.0,-1.58,-1.58,-112.32,0.0,1.0,0.0
156.25,160.25,48.0,222.0,-1.01,-0.66,-112.59,0.0,1.0,0.0
160.38,164.5,16.0,222.0,-0.97,-1.05,-112.5,0.0,1.0,0.0
164.5,168.75,56.0,225.0,-1.36,-1.32,-112.24,0.0,1.0,0.0
169.5,174.0,24.0,226.0,-1.71,-1.05,-112.24,0.0,1.0,0.0
170.75,175.25,48.0,226.0,-1.71,-1.41,-112.32,0.0,1.0,0.0
174.12,178.5,352.0,219.0,-1.32,-1.67,-112.5,0.0,1.0,0.0
178.0,182.5,232.0,229.0,2.11,2.2,-112.5,0.0,1.0,0.0
